time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1740527700,2025.02.25 23:55:00,2915.36,2915.57,2914.84,2914.95,88,20,0
1740531600,2025.02.26 01:00:00,2915.11,2916.03,2913.97,2915.93,178,20,0
1740531900,2025.02.26 01:05:00,2915.93,2916.90,2915.35,2915.67,269,20,0
1740532200,2025.02.26 01:10:00,2915.66,2915.77,2914.61,2914.78,206,20,0
1740532500,2025.02.26 01:15:00,2914.77,2915.21,2913.88,2914.20,192,20,0
1740532800,2025.02.26 01:20:00,2914.11,2914.46,2913.74,2914.46,137,20,0
1740533100,2025.02.26 01:25:00,2914.46,2914.51,2913.68,2914.41,187,20,0
1740533400,2025.02.26 01:30:00,2914.43,2915.59,2914.43,2915.59,156,20,0
1740533700,2025.02.26 01:35:00,2915.60,2916.86,2915.59,2916.37,220,20,0
1740534000,2025.02.26 01:40:00,2916.36,2916.78,2916.04,2916.67,134,20,0
1740534300,2025.02.26 01:45:00,2916.67,2917.52,2916.41,2916.78,212,20,0
1740534600,2025.02.26 01:50:00,2916.78,2918.68,2916.52,2918.68,223,20,0
1740534900,2025.02.26 01:55:00,2918.67,2918.91,2917.96,2918.55,231,20,0
1740535200,2025.02.26 02:00:00,2918.56,2920.50,2918.56,2919.33,276,20,0
1740535500,2025.02.26 02:05:00,2919.43,2922.07,2919.31,2921.75,330,20,0
1740535800,2025.02.26 02:10:00,2921.69,2924.33,2921.21,2924.27,270,20,0
1740536100,2025.02.26 02:15:00,2924.27,2925.86,2924.21,2925.06,376,20,0
1740536400,2025.02.26 02:20:00,2925.07,2926.03,2924.07,2925.28,266,20,0
1740536700,2025.02.26 02:25:00,2925.29,2925.38,2923.47,2923.59,233,20,0
1740537000,2025.02.26 02:30:00,2923.84,2925.47,2923.84,2924.42,235,20,0
1740537300,2025.02.26 02:35:00,2924.44,2925.53,2923.71,2924.94,175,20,0
1740537600,2025.02.26 02:40:00,2924.92,2925.41,2924.66,2924.91,158,20,0
1740537900,2025.02.26 02:45:00,2925.08,2925.63,2923.36,2924.47,288,20,0
1740538200,2025.02.26 02:50:00,2924.47,2925.38,2923.76,2923.82,262,20,0
1740538500,2025.02.26 02:55:00,2923.79,2923.79,2921.98,2923.49,340,20,0
1740538800,2025.02.26 03:00:00,2923.31,2924.13,2922.48,2923.74,517,20,0
1740539100,2025.02.26 03:05:00,2923.75,2925.26,2923.06,2924.70,441,20,0
1740539400,2025.02.26 03:10:00,2924.73,2925.77,2922.94,2923.48,360,20,0
1740539700,2025.02.26 03:15:00,2923.57,2926.49,2923.57,2924.96,423,20,0
1740540000,2025.02.26 03:20:00,2924.92,2929.72,2924.92,2929.72,421,20,0
1740540300,2025.02.26 03:25:00,2929.77,2930.02,2927.34,2927.54,382,20,0
1740540600,2025.02.26 03:30:00,2927.54,2927.76,2925.85,2926.68,434,20,0
1740540900,2025.02.26 03:35:00,2926.69,2928.18,2925.21,2925.56,383,20,0
1740541200,2025.02.26 03:40:00,2925.47,2925.86,2923.39,2925.41,416,20,0
1740541500,2025.02.26 03:45:00,2925.41,2925.41,2921.24,2921.25,390,20,0
1740541800,2025.02.26 03:50:00,2921.25,2922.06,2920.75,2920.97,317,20,0
1740542100,2025.02.26 03:55:00,2921.03,2921.03,2915.23,2917.79,470,20,0
1740542400,2025.02.26 04:00:00,2917.80,2919.98,2917.69,2918.08,464,20,0
1740542700,2025.02.26 04:05:00,2918.05,2919.53,2916.52,2916.52,303,20,0
1740543000,2025.02.26 04:10:00,2916.50,2918.07,2914.75,2916.77,368,20,0
1740543300,2025.02.26 04:15:00,2916.83,2918.51,2916.80,2917.40,258,20,0
1740543600,2025.02.26 04:20:00,2917.36,2919.61,2917.25,2919.31,350,20,0
1740543900,2025.02.26 04:25:00,2919.31,2919.35,2918.27,2918.29,293,20,0
1740544200,2025.02.26 04:30:00,2918.72,2920.46,2918.48,2920.46,368,20,0
1740544500,2025.02.26 04:35:00,2920.48,2921.10,2918.00,2918.43,414,20,0
1740544800,2025.02.26 04:40:00,2918.44,2918.58,2917.12,2917.77,328,20,0
1740545100,2025.02.26 04:45:00,2917.76,2918.37,2917.02,2917.89,340,20,0
1740545400,2025.02.26 04:50:00,2917.92,2921.53,2917.86,2920.96,444,20,0
1740545700,2025.02.26 04:55:00,2920.99,2922.99,2920.86,2920.99,370,20,0
1740546000,2025.02.26 05:00:00,2921.08,2921.64,2919.93,2920.45,376,20,0
1740546300,2025.02.26 05:05:00,2920.45,2921.10,2920.16,2920.29,203,20,0
1740546600,2025.02.26 05:10:00,2920.30,2921.55,2919.94,2920.72,225,20,0
1740546900,2025.02.26 05:15:00,2920.72,2920.97,2919.72,2920.26,201,20,0
1740547200,2025.02.26 05:20:00,2920.22,2920.61,2919.92,2919.99,292,20,0
1740547500,2025.02.26 05:25:00,2919.97,2920.85,2919.50,2920.34,261,20,0
1740547800,2025.02.26 05:30:00,2920.34,2920.90,2919.71,2919.73,129,20,0
1740548100,2025.02.26 05:35:00,2919.73,2920.57,2918.64,2920.23,231,20,0
1740548400,2025.02.26 05:40:00,2920.14,2920.24,2918.66,2919.11,201,20,0
1740548700,2025.02.26 05:45:00,2919.09,2919.91,2918.97,2919.04,129,20,0
1740549000,2025.02.26 05:50:00,2919.04,2919.67,2918.20,2918.20,205,20,0
1740549300,2025.02.26 05:55:00,2918.20,2918.20,2916.49,2916.75,263,20,0
1740549600,2025.02.26 06:00:00,2917.19,2917.73,2916.15,2916.61,265,20,0
1740549900,2025.02.26 06:05:00,2916.59,2917.79,2916.30,2917.65,145,20,0
1740550200,2025.02.26 06:10:00,2917.65,2918.82,2915.63,2915.75,249,20,0
1740550500,2025.02.26 06:15:00,2915.74,2915.76,2912.59,2913.73,390,20,0
1740550800,2025.02.26 06:20:00,2913.73,2915.34,2913.72,2914.44,219,20,0
1740551100,2025.02.26 06:25:00,2914.44,2915.98,2914.30,2915.26,168,20,0
