time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1756424700,2025.08.28 23:45:00,3416.63,3417.34,3416.22,3416.91,527,14,0
1756429200,2025.08.29 01:00:00,3418.47,3418.47,3416.45,3417.27,692,14,0
1756430100,2025.08.29 01:15:00,3417.27,3417.83,3416.63,3416.79,412,14,0
1756431000,2025.08.29 01:30:00,3416.79,3417.00,3415.70,3416.28,529,14,0
1756431900,2025.08.29 01:45:00,3416.28,3416.93,3416.11,3416.83,286,14,0
1756432800,2025.08.29 02:00:00,3416.86,3416.86,3416.10,3416.21,266,14,0
1756433700,2025.08.29 02:15:00,3416.21,3416.71,3415.68,3415.78,233,14,0
1756434600,2025.08.29 02:30:00,3415.78,3416.18,3415.14,3415.18,277,14,0
1756435500,2025.08.29 02:45:00,3415.18,3415.91,3414.81,3414.81,373,14,0
1756436400,2025.08.29 03:00:00,3414.78,3417.48,3414.72,3417.24,809,14,0
1756437300,2025.08.29 03:15:00,3417.25,3417.87,3413.06,3414.65,882,14,0
1756438200,2025.08.29 03:30:00,3414.65,3415.24,3413.48,3413.67,779,14,0
1756439100,2025.08.29 03:45:00,3413.67,3415.29,3413.05,3413.52,994,14,0
1756440000,2025.08.29 04:00:00,3413.52,3413.65,3411.18,3411.72,1321,14,0
1756440900,2025.08.29 04:15:00,3411.72,3412.61,3409.92,3410.30,1101,14,0
1756441800,2025.08.29 04:30:00,3410.30,3410.69,3407.89,3410.49,1317,14,0
1756442700,2025.08.29 04:45:00,3410.47,3410.85,3409.13,3409.91,1303,14,0
1756443600,2025.08.29 05:00:00,3409.84,3412.82,3409.84,3412.76,1141,14,0
1756444500,2025.08.29 05:15:00,3412.69,3413.35,3411.58,3412.04,713,14,0
1756445400,2025.08.29 05:30:00,3412.09,3413.96,3412.00,3413.62,828,14,0
1756446300,2025.08.29 05:45:00,3413.62,3413.92,3411.06,3411.28,910,14,0
1756447200,2025.08.29 06:00:00,3411.28,3412.18,3409.94,3410.03,815,14,0
1756448100,2025.08.29 06:15:00,3410.03,3412.22,3410.03,3412.05,748,14,0
1756449000,2025.08.29 06:30:00,3412.05,3413.59,3410.76,3412.55,613,14,0
1756449900,2025.08.29 06:45:00,3412.57,3412.90,3410.86,3410.86,435,14,0
1756450800,2025.08.29 07:00:00,3410.86,3411.35,3408.47,3409.32,1086,14,0
1756451700,2025.08.29 07:15:00,3409.32,3409.63,3407.51,3408.49,692,14,0
1756452600,2025.08.29 07:30:00,3408.49,3409.17,3408.05,3408.62,495,14,0
1756453500,2025.08.29 07:45:00,3408.62,3409.43,3408.06,3408.85,656,14,0
1756454400,2025.08.29 08:00:00,3408.89,3409.58,3407.69,3407.69,729,14,0
1756455300,2025.08.29 08:15:00,3407.69,3408.53,3406.99,3408.10,587,14,0
1756456200,2025.08.29 08:30:00,3408.10,3410.32,3407.93,3409.59,761,14,0
1756457100,2025.08.29 08:45:00,3409.56,3410.80,3409.31,3410.37,739,14,0
1756458000,2025.08.29 09:00:00,3410.37,3412.63,3410.31,3411.46,994,14,0
1756458900,2025.08.29 09:15:00,3411.46,3412.28,3411.24,3411.56,547,14,0
1756459800,2025.08.29 09:30:00,3411.56,3411.66,3407.83,3409.42,939,14,0
1756460700,2025.08.29 09:45:00,3409.41,3410.84,3408.65,3410.30,622,14,0
1756461600,2025.08.29 10:00:00,3410.22,3412.67,3409.57,3409.82,790,14,0
1756462500,2025.08.29 10:15:00,3409.78,3410.16,3406.83,3407.27,1377,14,0
1756463400,2025.08.29 10:30:00,3407.30,3410.29,3406.53,3409.85,1077,14,0
1756464300,2025.08.29 10:45:00,3409.85,3412.66,3409.79,3412.23,1145,14,0
1756465200,2025.08.29 11:00:00,3412.21,3414.05,3411.28,3413.87,1313,14,0
1756466100,2025.08.29 11:15:00,3413.87,3414.78,3412.17,3412.60,932,14,0
1756467000,2025.08.29 11:30:00,3412.60,3414.22,3412.18,3412.87,859,14,0
1756467900,2025.08.29 11:45:00,3412.87,3413.03,3409.73,3410.36,1016,14,0
1756468800,2025.08.29 12:00:00,3410.36,3410.65,3408.90,3409.46,1059,14,0
1756469700,2025.08.29 12:15:00,3409.46,3411.04,3408.61,3408.83,960,14,0
1756470600,2025.08.29 12:30:00,3408.83,3409.01,3407.02,3408.10,1136,14,0
1756471500,2025.08.29 12:45:00,3408.10,3408.66,3406.87,3407.40,944,14,0
1756472400,2025.08.29 13:00:00,3407.40,3408.80,3406.36,3406.63,1036,14,0
1756473300,2025.08.29 13:15:00,3406.63,3407.56,3405.90,3406.50,858,14,0
1756474200,2025.08.29 13:30:00,3406.50,3407.72,3405.49,3407.11,652,14,0
1756475100,2025.08.29 13:45:00,3407.11,3407.33,3404.73,3405.56,623,14,0
1756476000,2025.08.29 14:00:00,3405.56,3405.99,3404.34,3405.01,599,14,0
1756476900,2025.08.29 14:15:00,3405.01,3407.42,3404.94,3407.31,653,14,0
1756477800,2025.08.29 14:30:00,3407.31,3408.56,3406.97,3408.16,1081,14,0
1756478700,2025.08.29 14:45:00,3408.16,3411.31,3407.76,3410.76,1212,14,0
1756479600,2025.08.29 15:00:00,3410.76,3411.08,3408.37,3408.76,1328,14,0
1756480500,2025.08.29 15:15:00,3408.75,3410.98,3406.74,3408.22,1493,14,0
1756481400,2025.08.29 15:30:00,3408.24,3414.34,3408.19,3412.74,2413,14,0
1756482300,2025.08.29 15:45:00,3412.71,3416.87,3412.67,3416.50,1842,14,0
1756483200,2025.08.29 16:00:00,3416.50,3419.16,3413.66,3418.71,2051,14,0
1756484100,2025.08.29 16:15:00,3418.72,3420.35,3416.42,3417.48,1807,14,0
1756485000,2025.08.29 16:30:00,3417.33,3426.19,3417.33,3424.57,2350,14,0
1756485900,2025.08.29 16:45:00,3424.54,3429.10,3423.23,3428.56,2183,14,0
1756486800,2025.08.29 17:00:00,3428.58,3437.28,3428.58,3435.31,2788,14,0
1756487700,2025.08.29 17:15:00,3435.15,3436.73,3432.35,3435.80,2725,14,0
1756488600,2025.08.29 17:30:00,3435.98,3440.12,3435.95,3436.17,2596,14,0
1756489500,2025.08.29 17:45:00,3436.14,3441.03,3433.29,3440.94,2461,14,0
1756490400,2025.08.29 18:00:00,3440.93,3442.54,3438.92,3442.22,2198,14,0
1756491300,2025.08.29 18:15:00,3442.22,3446.12,3442.22,3444.74,2373,14,0
1756492200,2025.08.29 18:30:00,3444.77,3447.62,3444.32,3447.22,1750,14,0
1756493100,2025.08.29 18:45:00,3447.22,3447.63,3445.04,3445.46,2206,14,0
1756494000,2025.08.29 19:00:00,3445.46,3448.34,3444.04,3444.15,2195,14,0
1756494900,2025.08.29 19:15:00,3444.15,3446.35,3442.25,3445.59,1738,14,0
1756495800,2025.08.29 19:30:00,3445.63,3447.60,3445.29,3447.04,1534,14,0
1756496700,2025.08.29 19:45:00,3447.04,3449.42,3446.03,3449.15,1514,14,0
1756497600,2025.08.29 20:00:00,3449.05,3450.05,3447.18,3447.23,1555,14,0
1756498500,2025.08.29 20:15:00,3447.19,3450.11,3446.54,3448.09,1677,14,0
1756499400,2025.08.29 20:30:00,3448.14,3448.29,3443.73,3444.69,1441,14,0
1756500300,2025.08.29 20:45:00,3444.69,3445.19,3441.02,3443.80,1653,14,0
1756501200,2025.08.29 21:00:00,3443.80,3444.38,3441.08,3442.92,1395,14,0
1756502100,2025.08.29 21:15:00,3442.92,3445.55,3442.76,3444.59,1041,14,0
1756503000,2025.08.29 21:30:00,3444.59,3445.63,3443.61,3444.03,962,14,0
1756503900,2025.08.29 21:45:00,3444.03,3445.33,3442.86,3442.86,1087,14,0
1756504800,2025.08.29 22:00:00,3442.85,3444.43,3441.61,3443.99,1135,14,0
1756505700,2025.08.29 22:15:00,3444.05,3445.76,3443.82,3444.22,1206,14,0
1756506600,2025.08.29 22:30:00,3444.22,3448.05,3443.67,3447.98,1222,14,0
1756507500,2025.08.29 22:45:00,3447.98,3453.87,3447.58,3452.47,2394,14,0
1756508400,2025.08.29 23:00:00,3452.66,3452.69,3445.78,3446.76,1857,14,0
1756509300,2025.08.29 23:15:00,3446.76,3450.32,3446.41,3450.12,863,14,0
1756510200,2025.08.29 23:30:00,3450.11,3450.11,3447.09,3449.19,768,14,0
1756511100,2025.08.29 23:45:00,3449.18,3449.20,3447.64,3448.06,692,14,0
1756688400,2025.09.01 01:00:00,3448.72,3449.74,3442.44,3446.32,1422,14,0
1756689300,2025.09.01 01:15:00,3446.00,3448.79,3445.39,3448.12,938,14,0
1756690200,2025.09.01 01:30:00,3448.29,3452.65,3447.82,3449.72,999,14,0
1756691100,2025.09.01 01:45:00,3449.72,3450.67,3449.02,3450.25,486,14,0
1756692000,2025.09.01 02:00:00,3450.28,3450.89,3448.68,3448.93,568,14,0
1756692900,2025.09.01 02:15:00,3448.93,3448.93,3446.65,3446.76,386,14,0
1756693800,2025.09.01 02:30:00,3446.76,3447.14,3444.77,3445.24,492,14,0
1756694700,2025.09.01 02:45:00,3445.38,3449.34,3445.07,3447.98,990,14,0
1756695600,2025.09.01 03:00:00,3447.98,3447.98,3443.21,3443.58,1198,14,0
1756696500,2025.09.01 03:15:00,3443.47,3445.69,3442.77,3445.33,1035,14,0
1756697400,2025.09.01 03:30:00,3445.35,3445.89,3443.34,3443.57,977,14,0
1756698300,2025.09.01 03:45:00,3443.59,3444.20,3442.76,3444.01,711,14,0
1756699200,2025.09.01 04:00:00,3444.06,3445.50,3439.02,3439.55,1760,14,0
1756700100,2025.09.01 04:15:00,3439.54,3440.54,3437.07,3438.95,1497,14,0
1756701000,2025.09.01 04:30:00,3438.95,3447.08,3438.38,3447.07,1700,14,0
1756701900,2025.09.01 04:45:00,3447.07,3459.29,3446.39,3457.29,2266,14,0
1756702800,2025.09.01 05:00:00,3457.29,3471.32,3455.04,3458.52,2802,14,0
1756703700,2025.09.01 05:15:00,3458.68,3469.20,3456.04,3466.31,2641,14,0
1756704600,2025.09.01 05:30:00,3466.29,3476.46,3465.38,3475.48,2857,14,0
1756705500,2025.09.01 05:45:00,3475.47,3484.82,3474.34,3483.54,2692,14,0
1756706400,2025.09.01 06:00:00,3483.54,3486.10,3469.81,3473.51,2722,14,0
1756707300,2025.09.01 06:15:00,3473.39,3476.25,3469.80,3471.86,2073,14,0
1756708200,2025.09.01 06:30:00,3471.54,3476.46,3471.54,3474.13,1870,14,0
1756709100,2025.09.01 06:45:00,3474.13,3475.68,3473.71,3474.76,1213,14,0
1756710000,2025.09.01 07:00:00,3474.78,3475.86,3473.62,3474.96,1143,14,0
1756710900,2025.09.01 07:15:00,3474.98,3479.42,3473.05,3473.99,1460,14,0
1756711800,2025.09.01 07:30:00,3473.98,3475.67,3472.25,3474.91,1296,14,0
1756712700,2025.09.01 07:45:00,3474.91,3476.19,3474.52,3475.10,866,14,0
1756713600,2025.09.01 08:00:00,3475.06,3478.07,3474.60,3474.61,1141,14,0
1756714500,2025.09.01 08:15:00,3474.60,3478.51,3474.30,3478.32,1318,14,0
1756715400,2025.09.01 08:30:00,3478.33,3482.90,3474.65,3476.41,2009,14,0
1756716300,2025.09.01 08:45:00,3476.41,3481.61,3476.41,3477.16,1990,14,0
1756717200,2025.09.01 09:00:00,3477.21,3483.38,3476.83,3482.34,1580,14,0
1756718100,2025.09.01 09:15:00,3482.38,3486.22,3481.51,3485.47,1859,14,0
