trade_id,month,direction,route,setup_id,opportunity_id,attempt,opportunity_type,signal_bar_time,eligible_time,fill_time,exit_time,m15_background,m5_direction,m5_phase,local_regime,permission_reason,context_class,pullback_class,lifecycle_stage,lifecycle_log_reason,setup_stage,setup_origin,setup_observed_at,setup_extreme,signal_basis,optional_location,entry,sl,target,risk_distance,candidate_rr,actual_target_r,signal_close,entry_extension_r,signal_to_fill_minutes,volume,risk_usd,risk_pct,spread,slippage,commission,exit_price,exit_reason,net,mfe_r,mae_r,path_quality,same_setup_trade_count,signal_mechanical_verdict,signal_evidence,human_review_flags,plan_mechanical_verdict,plan_evidence,rule1_structure_gate,rule1_manual_note,rule2_pullback_stage,rule3_signal_timing,rule4_opportunity_identity,rule5_control_rr,five_rule_machine_verdict,result_interpretation,issue_bucket,human_choice,human_signal_bar,human_entry_method,human_reason
T085,AUGUST,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1786447500|1786455300,XAUUSD.s|1|1786447500|1786455300|A1,1,首次恢复,2026.08.11 13:45:00,2026.08.11 13:50:00,2026.08.11 13:50:00,2026.08.11 18:36:35,M15_BULL,M5_BULL,PULLBACK,PRIMARY_ALIGNED,PRIMARY_AND_M5_ALIGNED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,CONFIRMED,ALIGNED_PULLBACK,2026.08.11 13:40,4376.95,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,4381.27,4374.95,4420.23,6.3200,6.1646,6.1646,4380.9900,0.0443,5,0.08,50.56,0.4946,0.17,0.00,0.00,4374.95,STOP,-50.56,3.6250,-1.0348,REAL_TICK,1,机械规则通过,Route、生命周期、权限、因果链和去重检查通过,,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,机械规则与计划均通过但亏损,,,,
T086,AUGUST,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1786587300|1786588500,XAUUSD.s|1|1786587300|1786588500|A2,2,第二次测试,2026.08.13 05:35:00,2026.08.13 05:40:00,2026.08.13 05:40:00,2026.08.13 07:01:15,M15_BULL,M5_BEAR,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_SIGNAL_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.13 04:40,4405.49,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,,4408.97,4397.02,4441.09,11.9500,2.6879,2.6879,4408.8100,0.0134,5,0.04,47.80,0.4723,0.16,0.00,0.00,4397.02,STOP,-47.80,0.2711,-1.0301,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T087,AUGUST,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1786704000|1786706100,XAUUSD.s|1|1786704000|1786706100|A2,2,第二次测试,2026.08.14 11:50:00,2026.08.14 11:55:00,2026.08.14 11:55:00,2026.08.14 14:50:27,M15_BEAR,M5_BULL,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,TACTICAL_LOCAL_TREND,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,TACTICAL_PULLBACK,2026.08.14 11:20,4342.83,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,4346.96,4340.83,4363.58,6.1300,2.7113,2.7113,4346.8100,0.0245,5,0.08,49.04,0.4868,0.16,0.00,0.00,4363.58,TARGET,132.96,2.7113,-0.1387,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,M15与M5分歧的战术局部趋势,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T088,AUGUST,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1786955100|1786960800,XAUUSD.s|1|1786955100|1786960800|A1,1,首次恢复,2026.08.17 13:10:00,2026.08.17 13:15:00,2026.08.17 13:15:00,2026.08.17 15:26:36,M15_BULL,M5_BEAR,PULLBACK,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.17 12:40,4392.56,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,4396.13,4390.55,4411.35,5.5800,2.7276,2.7276,4395.9700,0.0287,5,0.09,50.22,0.4920,0.16,0.00,0.00,4390.55,STOP,-50.22,1.7312,-1.2724,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
T089,AUGUST,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1787004300|1787004600,XAUUSD.s|1|1787004300|1787004600|A1,1,首次恢复,2026.08.17 22:10:00,2026.08.17 22:15:00,2026.08.17 22:15:00,2026.08.18 03:00:02,M15_BULL,M5_UNCLEAR,WEAKENING,TRANSITION,ORDINARY_PAUSED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.17 22:10,4403.68,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,4408.68,4401.68,4427.64,7.0000,2.7086,2.7086,4408.5100,0.0243,5,0.07,49.00,0.4825,0.14,0.00,0.00,4427.64,TARGET,132.72,3.0243,-0.0214,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T090,AUGUST,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1787601000|1787601300,XAUUSD.s|1|1787601000|1787601300|A2,2,第二次测试,2026.08.24 21:20:00,2026.08.24 21:25:00,2026.08.24 21:25:00,2026.08.24 21:37:32,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.24 19:55,4641.76,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,4636.46,4628.44,4662.24,8.0200,3.2145,3.2145,4636.4200,0.0050,5,0.06,48.12,0.4677,0.16,0.00,0.00,4628.44,STOP,-48.12,0.7157,-1.0399,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T091,AUGUST,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1787629800|1787630100,XAUUSD.s|1|1787629800|1787630100|A2,2,第二次测试,2026.08.25 06:05:00,2026.08.25 06:10:00,2026.08.25 06:10:00,2026.08.25 07:29:07,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_SIGNAL_ENTRY_READY,CONFIRMED,PRIMARY_RECOVERY,2026.08.25 03:55,4638.45,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,,4635.37,4629.02,4696.65,6.3500,9.6504,9.6504,4635.4200,-0.0079,5,0.08,50.80,0.4960,0.16,0.00,0.00,4629.02,STOP,-50.80,0.9528,-1.0094,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T092,AUGUST,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1787766600|1787768100,XAUUSD.s|-1|1787766600|1787768100|A1,1,首次恢复,2026.08.26 18:50:00,2026.08.26 18:55:00,2026.08.26 18:55:00,2026.08.27 01:18:18,M15_BEAR,M5_BULL,PULLBACK,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.26 18:35,4609.27,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,4600.47,4611.27,4573.37,10.8000,2.5093,2.5093,4600.4500,-0.0019,5,0.04,43.20,0.4239,0.17,0.00,0.00,4611.27,STOP,-43.20,1.5056,-1.0157,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
T093,AUGUST,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1787815500|1787816400,XAUUSD.s|-1|1787815500|1787816400|A1,1,首次恢复,2026.08.27 08:25:00,2026.08.27 08:30:00,2026.08.27 08:30:00,2026.08.27 09:02:00,M15_BEAR,M5_RANGE,WEAKENING,TRANSITION,ORDINARY_PAUSED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.27 08:15,4621.50,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,4617.21,4623.50,4600.56,6.2900,2.6471,2.6471,4617.2100,-0.0000,5,0.08,50.32,0.4959,0.18,0.00,0.00,4600.56,TARGET,133.20,2.6836,-0.4404,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T094,AUGUST,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1787834100|1787835900,XAUUSD.s|-1|1787834100|1787835900|A1,1,首次恢复,2026.08.27 14:45:00,2026.08.27 14:50:00,2026.08.27 14:50:00,2026.08.27 16:48:29,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2026.08.27 13:50,4599.74,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,4595.29,4601.74,4569.06,6.4500,4.0667,4.0667,4595.2500,-0.0062,5,0.07,45.15,0.4392,0.16,0.00,0.00,4569.06,TARGET,183.61,4.1054,-0.9287,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
